11:50:11.277 |V| JetEnvironment                | :1                 | JetEnvironment is initiating startup.
11:50:11.290 |V| JetEnvironment                | :1                 | Commencing InitHost phase.
11:50:11.302 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_TEMP_DIR (no PID suffix).
11:50:11.302 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_TEMP_DIR (no PID suffix) has no value.
11:50:11.302 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_TEMP_DIR_PID_00000748 (PID-specific).
11:50:11.302 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_TEMP_DIR_PID_00000748 (PID-specific) has no value.
11:50:11.302 |V| EnvironmentVariablesUtil      | :1                 | No environment variables for additional packages are set.
11:50:11.383 |V| JetHostParametersCaller       | :1                 | <Measured> "Host initialization"  time=85ms
11:50:11.383 |V| JetEnvironment                | :1                 | HostInit phase completed.
11:50:11.383 |V| JetEnvironment                | :1                 | Requesting FullPartCatalogSet.
11:50:11.395 |V| DeployedPackages              | :1                 | Initiating Deployed Package discovery for bindir C:\Users\Jakov\Documents\Git\ZavrsniRad_PostProcessing\ZavrsniRad_PostProcessing\Library\RiderFlow\2023.1.0.21\Backend~\bin.
11:50:11.406 |V| DeployedPackages              | :1                 | Scanning folder C:\Users\Jakov\Documents\Git\ZavrsniRad_PostProcessing\ZavrsniRad_PostProcessing\Library\RiderFlow\2023.1.0.21\Backend~\bin for Deployed Packages. Picking nugets? True!
