17:15:36.087 |V| JetEnvironment                | :1                 | JetEnvironment is initiating startup.
17:15:36.100 |V| JetEnvironment                | :1                 | Commencing InitHost phase.
17:15:36.113 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_TEMP_DIR (no PID suffix).
17:15:36.113 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_TEMP_DIR (no PID suffix) has no value.
17:15:36.113 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_TEMP_DIR_PID_00005254 (PID-specific).
17:15:36.113 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_TEMP_DIR_PID_00005254 (PID-specific) has no value.
17:15:36.113 |V| EnvironmentVariablesUtil      | :1                 | No environment variables for additional packages are set.
17:15:36.194 |V| JetHostParametersCaller       | :1                 | <Measured> "Host initialization"  time=86ms
17:15:36.194 |V| JetEnvironment                | :1                 | HostInit phase completed.
17:15:36.194 |V| JetEnvironment                | :1                 | Requesting FullPartCatalogSet.
17:15:36.203 |V| DeployedPackages              | :1                 | Initiating Deployed Package discovery for bindir C:\Users\Jakov\Documents\Git\ZavrsniRad_PostProcessing\ZavrsniRad_PostProcessing\Library\RiderFlow\2023.1.0.21\Backend~\bin.
17:15:36.213 |V| DeployedPackages              | :1                 | Scanning folder C:\Users\Jakov\Documents\Git\ZavrsniRad_PostProcessing\ZavrsniRad_PostProcessing\Library\RiderFlow\2023.1.0.21\Backend~\bin for Deployed Packages. Picking nugets? True!
