16:29:37.036 |V| JetEnvironment                | :1                 | JetEnvironment is initiating startup.
16:29:37.048 |V| JetEnvironment                | :1                 | Commencing InitHost phase.
16:29:37.053 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_TEMP_DIR (no PID suffix).
16:29:37.053 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_TEMP_DIR (no PID suffix) has no value.
16:29:37.053 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_TEMP_DIR_PID_00007284 (PID-specific).
16:29:37.053 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_TEMP_DIR_PID_00007284 (PID-specific) has no value.
16:29:37.053 |V| EnvironmentVariablesUtil      | :1                 | No environment variables for additional packages are set.
16:29:37.071 |V| JetHostParametersCaller       | :1                 | <Measured> "Host initialization"  time=18ms
16:29:37.071 |V| JetEnvironment                | :1                 | HostInit phase completed.
16:29:37.071 |V| JetEnvironment                | :1                 | Requesting FullPartCatalogSet.
16:29:37.078 |V| DeployedPackages              | :1                 | Initiating Deployed Package discovery for bindir C:\Users\Jakov\Documents\Git\ZavrsniRad_PostProcessing\ZavrsniRad_PostProcessing\Library\RiderFlow\2023.1.0.21\Backend~\bin.
16:29:37.083 |V| DeployedPackages              | :1                 | Scanning folder C:\Users\Jakov\Documents\Git\ZavrsniRad_PostProcessing\ZavrsniRad_PostProcessing\Library\RiderFlow\2023.1.0.21\Backend~\bin for Deployed Packages. Picking nugets? True!
